ARREST_DATE,PD_DESC,OFNS_DESC,LAW_CODE,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX
2025-01-08T00:00:00.000,"PUBLIC ADMINISTATION,UNCLASS M",OFFENSES AGAINST PUBLIC ADMINI,PL 1950500,S,121,(null),(null)
2025-01-08T00:00:00.000,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,PL 1201401,Q,104,(null),(null)
2025-01-08T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,K,68,(null),(null)
2025-01-08T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510D,Q,102,(null),(null)
2025-01-08T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,K,61,18-24,M
2025-01-08T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Q,104,(null),(null)
2025-01-08T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Q,110,(null),(null)
2025-01-08T00:00:00.000,"CONTROLLED SUBSTANCE,INTENT TO",DANGEROUS DRUGS,PL 2201601,K,60,(null),(null)
2025-01-08T00:00:00.000,STRANGULATION 1ST,FELONY ASSAULT,PL 1211200,B,46,(null),(null)
2025-01-08T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,K,88,45-64,M
2025-01-08T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,B,41,(null),(null)
2025-01-08T00:00:00.000,"NY STATE LAWS,UNCLASSIFIED FEL",OTHER STATE LAWS,COR0168EB2,M,5,45-64,M
2025-01-08T00:00:00.000,"TRAFFIC,UNCLASSIFIED INFRACTIO",OTHER TRAFFIC INFRACTION,VTL051101A,B,42,(null),(null)
2025-01-08T00:00:00.000,"FORGERY-ILLEGAL POSSESSION,VEH",MISCELLANEOUS PENAL LAW,PL 1707003,B,46,(null),(null)
2025-01-08T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,M,24,(null),(null)
2025-01-08T00:00:00.000,STRANGULATION 1ST,FELONY ASSAULT,PL 1211200,K,83,(null),(null)
2025-01-08T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,B,49,<18,M
2025-01-08T00:00:00.000,"FORGERY,ETC.,UNCLASSIFIED-FELO",FORGERY,PL 1702500,K,75,(null),(null)
2025-01-08T00:00:00.000,WEAPONS POSSESSION 3,DANGEROUS WEAPONS,PL 2650201,B,40,(null),(null)
2025-01-08T00:00:00.000,"CHILD, ENDANGERING WELFARE",SEX CRIMES,PL 2601001,K,62,18-24,M
2025-01-08T00:00:00.000,"TRESPASS 3, CRIMINAL",CRIMINAL TRESPASS,PL 140100A,M,17,(null),(null)
2025-01-08T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,14,(null),(null)
2025-01-08T00:00:00.000,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",GRAND LARCENY,PL 1553001,M,18,(null),(null)
2025-01-08T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,B,52,25-44,M
2025-01-08T00:00:00.000,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",CRIMINAL MISCHIEF & RELATED OF,PL 1450001,B,49,(null),(null)
2025-01-08T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,Q,109,(null),(null)
2025-01-08T00:00:00.000,CRIMINAL POSSESSION WEAPON,DANGEROUS WEAPONS,PL 265031B,B,46,18-24,M
2025-01-08T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,Q,103,25-44,F
2025-01-08T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,25,(null),(null)
2025-01-08T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,B,46,(null),(null)
2025-01-08T00:00:00.000,UNAUTH. SALE OF TRANS. SERVICE,OTHER OFFENSES RELATED TO THEFT,PL 1651601,B,46,(null),(null)
2025-01-08T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510B,B,47,25-44,M
2025-01-08T00:00:00.000,"NY STATE LAWS,UNCLASSIFIED FEL",OTHER STATE LAWS,VTL05110E3,K,75,(null),(null)
2025-01-08T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,B,44,(null),(null)
2025-01-08T00:00:00.000,"WEAPONS, POSSESSION, ETC",DANGEROUS WEAPONS,PL 2650102,K,72,25-44,M
2025-01-08T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,K,79,(null),(null)
2025-01-08T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200501,K,67,25-44,M
2025-01-08T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,B,45,(null),(null)
2025-01-08T00:00:00.000,"CONTROLLED SUBSTANCE,SALE 3",DANGEROUS DRUGS,PL 2203901,B,52,45-64,M
2025-01-08T00:00:00.000,"CONTROLLED SUBSTANCE,POSSESS.",DANGEROUS DRUGS,PL 2202101,B,40,(null),(null)
2025-01-08T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510B,K,68,45-64,M
2025-01-08T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,14,(null),(null)
2025-01-08T00:00:00.000,"CONTROLLED SUBSTANCE,INTENT TO",DANGEROUS DRUGS,PL 2201601,K,69,(null),(null)
2025-01-08T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,B,42,(null),(null)
2025-01-08T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,B,44,(null),(null)
2025-01-08T00:00:00.000,UNAUTHORIZED USE VEHICLE 2,MISCELLANEOUS PENAL LAW,PL 1650600,S,122,25-44,M
2025-01-08T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200605,Q,102,25-44,F
2025-01-08T00:00:00.000,"MURDER,UNCLASSIFIED",MURDER & NON-NEGL. MANSLAUGHTE,PL 1252501,Q,102,18-24,M
2025-01-08T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,32,(null),(null)
2025-01-08T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,K,62,25-44,M
2025-01-08T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,Q,110,45-64,M
2025-01-08T00:00:00.000,RECKLESS ENDANGERMENT 1,MISCELLANEOUS PENAL LAW,PL 1202500,Q,107,(null),(null)
2025-01-08T00:00:00.000,"WEAPONS, POSSESSION, ETC",DANGEROUS WEAPONS,PL 2650101,B,47,(null),(null)
2025-01-08T00:00:00.000,RECKLESS ENDANGERMENT 2,OFFENSES AGAINST THE PERSON,PL 1202000,M,5,(null),(null)
2025-01-08T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,M,34,(null),(null)
2025-01-08T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200501,K,67,(null),(null)
2025-01-08T00:00:00.000,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",GRAND LARCENY,PL 1553001,M,26,(null),(null)
2025-01-08T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,B,40,(null),(null)
2025-01-08T00:00:00.000,"FORGERY-ILLEGAL POSSESSION,VEH",MISCELLANEOUS PENAL LAW,PL 1706501,K,67,(null),(null)
2025-01-08T00:00:00.000,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,PL 1201401,Q,105,(null),(null)
2025-01-08T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,K,90,45-64,M
2025-01-08T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,K,90,(null),(null)
2025-01-08T00:00:00.000,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",CRIMINAL MISCHIEF & RELATED OF,PL 1450001,K,75,45-64,M
2025-01-08T00:00:00.000,"BURGLARY,UNCLASSIFIED,UNKNOWN",BURGLARY,PL 1402000,M,13,(null),(null)
2025-01-08T00:00:00.000,"FORGERY,ETC.-MISD.",OFFENSES INVOLVING FRAUD,PL 1702000,B,47,(null),(null)
2025-01-08T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,B,45,25-44,F
2025-01-08T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,14,(null),(null)
2025-01-08T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510B,Q,101,45-64,M
2025-01-08T00:00:00.000,"MISCHIEF,CRIMINAL,    UNCL 2ND",CRIMINAL MISCHIEF & RELATED OF,PL 145230B,M,14,(null),(null)
2025-01-08T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,B,44,(null),(null)
2025-01-08T00:00:00.000,"CONTROLLED SUBSTANCE, INTENT T",DANGEROUS DRUGS,PL 2200601,K,61,(null),(null)
2025-01-08T00:00:00.000,"CHILD, ENDANGERING WELFARE",SEX CRIMES,PL 2601001,B,41,(null),(null)
2025-01-08T00:00:00.000,"NY STATE LAWS,UNCLASSIFIED VIO",OTHER STATE LAWS,RR 00000V0,K,77,(null),(null)
2025-01-08T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,Q,107,25-44,F
2025-01-08T00:00:00.000,OBSTR BREATH/CIRCUL,ASSAULT 3 & RELATED OFFENSES,PL 1211100,Q,116,(null),(null)
2025-01-08T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,B,52,25-44,M
2025-01-08T00:00:00.000,WEAPONS POSSESSION 3,DANGEROUS WEAPONS,PL 2650201,K,61,(null),(null)
2025-01-08T00:00:00.000,UNAUTHORIZED USE VEHICLE 2,MISCELLANEOUS PENAL LAW,PL 1650600,B,40,(null),(null)
2025-01-08T00:00:00.000,AGGRAVATED HARASSMENT 2,OFF. AGNST PUB ORD SENSBLTY &,PL 2403002,K,77,(null),(null)
2025-01-08T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,K,78,(null),(null)
2025-01-08T00:00:00.000,"PUBLIC SAFETY,UNCLASSIFIED MIS",OFFENSES AGAINST PUBLIC SAFETY,PL 2702500,B,43,25-44,M
2025-01-08T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,K,67,(null),(null)
2025-01-08T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,M,24,(null),(null)
2025-01-08T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,Q,114,(null),(null)
2025-01-08T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,K,79,(null),(null)
2025-01-08T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,K,76,(null),(null)
2025-01-08T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0512000,Q,115,(null),(null)
2025-01-08T00:00:00.000,"MURDER,UNCLASSIFIED",MURDER & NON-NEGL. MANSLAUGHTE,PL 1252501,B,52,45-64,M
2025-01-08T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,M,10,(null),(null)
2025-01-08T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,B,40,(null),(null)
2025-01-08T00:00:00.000,UNAUTHORIZED USE VEHICLE 3,UNAUTHORIZED USE OF A VEHICLE,PL 1650502,K,69,<18,M
2025-01-08T00:00:00.000,BAIL JUMPING 3,OFFENSES AGAINST PUBLIC ADMINI,PL 2155500,Q,102,25-44,F
2025-01-08T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,14,(null),(null)
2025-01-08T00:00:00.000,WEAPONS POSSESSION 3,DANGEROUS WEAPONS,PL 2650201,M,25,(null),(null)
2025-01-08T00:00:00.000,"STOLEN PROPERTY 3,POSSESSION",POSSESSION OF STOLEN PROPERTY,PL 1654000,B,43,(null),(null)
2025-01-08T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,Q,110,(null),(null)
2025-01-08T00:00:00.000,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",CRIMINAL MISCHIEF & RELATED OF,PL 1450001,B,52,(null),(null)
2025-01-08T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,K,68,25-44,F
2025-01-08T00:00:00.000,"BURGLARY,UNCLASSIFIED,UNKNOWN",BURGLARY,PL 1402000,Q,111,25-44,M
2025-01-08T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,33,(null),(null)
2025-01-08T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,M,34,25-44,M
2025-01-09T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,S,123,(null),(null)
2025-01-09T00:00:00.000,CRIMINAL MIS 2 & 3,CRIMINAL MISCHIEF & RELATED OF,PL 1450502,B,46,(null),(null)
2025-01-09T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510B,M,26,25-44,M
2025-01-09T00:00:00.000,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,PL 1201401,Q,103,(null),(null)
2025-01-09T00:00:00.000,ASSAULT OTHER PUBLIC SERVICE EMPLOYEE,FELONY ASSAULT,PL 1201900,M,10,25-44,M
2025-01-09T00:00:00.000,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",CRIMINAL MISCHIEF & RELATED OF,PL 1450001,K,83,25-44,M
2025-01-09T00:00:00.000,SEXUAL ABUSE,SEX CRIMES,PL 1306502,M,5,(null),(null)
2025-01-09T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Q,114,(null),(null)
2025-01-09T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,Q,109,18-24,M
2025-01-09T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,13,(null),(null)
2025-01-09T00:00:00.000,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",GRAND LARCENY,PL 1553001,K,69,(null),(null)
2025-01-09T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,Q,116,(null),(null)
2025-01-09T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510B,M,25,25-44,M
2025-01-09T00:00:00.000,"WEAPONS, POSSESSION, ETC",DANGEROUS WEAPONS,PL 2650101,K,68,(null),(null)
2025-01-09T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,K,60,25-44,M
2025-01-09T00:00:00.000,ASSAULT POLICE/PEACE OFFICER,FELONY ASSAULT,PL 1200503,K,84,(null),(null)
2025-01-09T00:00:00.000,AGGRAVATED HARASSMENT 2,OFF. AGNST PUB ORD SENSBLTY &,PL 2403002,K,77,(null),(null)
2025-01-09T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,B,49,(null),(null)
2025-01-09T00:00:00.000,"CONTROLLED SUBSTANCE,SALE 3",DANGEROUS DRUGS,PL 2203901,M,7,(null),(null)
2025-01-09T00:00:00.000,AGGRAVATED HARASSMENT 2,OFF. AGNST PUB ORD SENSBLTY &,PL 2403002,M,26,25-44,M
2025-01-09T00:00:00.000,"CRIMINAL MISCHIEF 4TH, GRAFFIT",CRIMINAL MISCHIEF & RELATED OF,PL 1456002,B,44,(null),(null)
2025-01-09T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,B,52,(null),(null)
2025-01-09T00:00:00.000,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",CRIMINAL MISCHIEF & RELATED OF,PL 1450001,S,123,(null),(null)
2025-01-09T00:00:00.000,"NY STATE LAWS,UNCLASSIFIED FEL",OTHER STATE LAWS,VTL05110E3,S,121,25-44,M
2025-01-09T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL05110MU,B,44,(null),(null)
2025-01-09T00:00:00.000,"TRESPASS 3, CRIMINAL",CRIMINAL TRESPASS,PL 140100A,M,6,(null),(null)
2025-01-09T00:00:00.000,OBSTR BREATH/CIRCUL,ASSAULT 3 & RELATED OFFENSES,PL 121110A,K,67,(null),(null)
2025-01-09T00:00:00.000,"TRESPASS 3, CRIMINAL",CRIMINAL TRESPASS,PL 140100G,K,79,(null),(null)
2025-01-09T00:00:00.000,"NY STATE LAWS,UNCLASSIFIED VIO",OTHER STATE LAWS,RR 00000V0,K,77,(null),(null)
2025-01-09T00:00:00.000,CRIMINAL CONTEMPT 1,MISCELLANEOUS PENAL LAW,PL 21551B4,Q,105,25-44,M
2025-01-09T00:00:00.000,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",GRAND LARCENY,PL 1553004,K,61,25-44,M
2025-01-09T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,B,40,(null),(null)
2025-01-09T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510D,B,52,25-44,M
2025-01-09T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,K,66,25-44,M
2025-01-09T00:00:00.000,STRANGULATION 1ST,FELONY ASSAULT,PL 1211300,Q,103,(null),(null)
2025-01-09T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,K,67,(null),(null)
2025-01-09T00:00:00.000,"NY STATE LAWS,UNCLASSIFIED FEL",OTHER STATE LAWS,VTL05110E3,B,40,(null),(null)
2025-01-09T00:00:00.000,OBSTR BREATH/CIRCUL,ASSAULT 3 & RELATED OFFENSES,PL 121110A,K,76,(null),(null)
2025-01-09T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510D,M,14,25-44,M
2025-01-09T00:00:00.000,STRANGULATION 1ST,FELONY ASSAULT,PL 1211200,Q,107,(null),(null)
2025-01-09T00:00:00.000,"LARCENY,GRAND OF AUTO",GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,K,77,(null),(null)
2025-01-09T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200501,B,46,18-24,M
2025-01-09T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,M,1,(null),(null)
2025-01-09T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510B,K,62,(null),(null)
2025-01-09T00:00:00.000,"CONTEMPT,CRIMINAL",OFFENSES AGAINST PUBLIC ADMINI,PL 2155003,S,123,25-44,M
2025-01-09T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,B,46,(null),(null)
2025-01-09T00:00:00.000,"BURGLARY,UNCLASSIFIED,UNKNOWN",BURGLARY,PL 1402000,M,24,25-44,M
2025-01-09T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,M,14,25-44,M
2025-01-09T00:00:00.000,"BURGLARY,UNCLASSIFIED,UNKNOWN",BURGLARY,PL 1402000,Q,100,(null),(null)
2025-01-09T00:00:00.000,"PUBLIC ADMINISTATION,UNCLASS M",OFFENSES AGAINST PUBLIC ADMINI,PL 2052002,B,41,(null),(null)
2025-01-09T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,K,66,25-44,M
2025-01-09T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,K,62,(null),(null)
2025-01-09T00:00:00.000,"FORGERY-ILLEGAL POSSESSION,VEH",MISCELLANEOUS PENAL LAW,PL 170703A,K,69,18-24,M
2025-01-09T00:00:00.000,"CONTROLLED SUBSTANCE,INTENT TO",DANGEROUS DRUGS,PL 2201601,Q,100,25-44,M
2025-01-09T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,Q,116,(null),(null)
2025-01-09T00:00:00.000,"DRUG PARAPHERNALIA,   POSSESSE",DANGEROUS DRUGS,PL 2205003,S,122,25-44,M
2025-01-09T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,Q,115,25-44,F
2025-01-09T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,B,50,(null),(null)
2025-01-09T00:00:00.000,"FORGERY,ETC.,UNCLASSIFIED-FELO",FORGERY,PL 1702500,K,75,(null),(null)
2025-01-09T00:00:00.000,AGGRAVATED HARASSMENT 2,OFF. AGNST PUB ORD SENSBLTY &,PL 2403001,K,71,(null),(null)
2025-01-09T00:00:00.000,"BURGLARY,UNCLASSIFIED,UNKNOWN",BURGLARY,PL 1402000,S,121,(null),(null)
2025-01-09T00:00:00.000,ASSAULT POLICE/PEACE OFFICER,FELONY ASSAULT,PL 1200503,K,73,(null),(null)
2025-01-09T00:00:00.000,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",CRIMINAL MISCHIEF & RELATED OF,PL 1450001,M,7,(null),(null)
2025-01-09T00:00:00.000,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,PL 1201401,K,63,(null),(null)
2025-01-09T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0392AMU,M,23,(null),(null)
2025-01-09T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,Q,113,(null),(null)
2025-01-09T00:00:00.000,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,PL 1201401,Q,103,18-24,F
2025-01-09T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,M,34,(null),(null)
2025-01-09T00:00:00.000,"FORGERY,ETC.,UNCLASSIFIED-FELO",FORGERY,PL 1702500,M,28,(null),(null)
2025-01-09T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,6,(null),(null)
2025-01-09T00:00:00.000,"BURGLARY,UNCLASSIFIED,UNKNOWN",BURGLARY,PL 1402501,M,23,45-64,M
2025-01-09T00:00:00.000,"INTOXICATED DRIVING,ALCOHOL",INTOXICATED/IMPAIRED DRIVING,VTL11920D3,K,73,25-44,M
2025-01-09T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,M,18,25-44,M
2025-01-09T00:00:00.000,CRIMINAL MIS 2 & 3,CRIMINAL MISCHIEF & RELATED OF,PL 1451000,Q,106,45-64,F
2025-01-09T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,K,75,(null),(null)
2025-01-09T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,Q,104,(null),(null)
2025-01-09T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,B,40,(null),(null)
2025-01-09T00:00:00.000,"CONTROLLED SUBSTANCE,INTENT TO",DANGEROUS DRUGS,PL 2201601,K,71,(null),(null)
2025-01-09T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,S,120,18-24,M
2025-01-09T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,9,(null),(null)
2025-01-09T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,Q,112,(null),(null)
2025-01-09T00:00:00.000,BAIL JUMPING 3,OFFENSES AGAINST PUBLIC ADMINI,PL 2155500,Q,102,(null),(null)
2025-01-09T00:00:00.000,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",GRAND LARCENY,PL 1553501,B,52,(null),(null)
2025-01-09T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,14,(null),(null)
2025-01-09T00:00:00.000,ASSAULT POLICE/PEACE OFFICER,FELONY ASSAULT,PL 1200800,Q,100,(null),(null)
2025-01-09T00:00:00.000,"CONTROLLED SUBSTANCE,INTENT TO",DANGEROUS DRUGS,PL 2201601,S,122,45-64,M
2025-01-09T00:00:00.000,"SEXUAL ABUSE 3,2",SEX CRIMES,PL 1305201,Q,112,(null),(null)
2025-01-09T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200912,K,61,(null),(null)
2025-01-09T00:00:00.000,"FORGERY,ETC.,UNCLASSIFIED-FELO",FORGERY,PL 1702500,S,120,25-44,M
2025-01-09T00:00:00.000,U.S. CODE UNCLASSIFIED,FOR OTHER AUTHORITIES,FOA9000049,M,5,25-44,M
2025-01-09T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,B,49,(null),(null)
2025-01-09T00:00:00.000,"SEXUAL ABUSE 3,2",SEX CRIMES,PL 1305500,Q,114,45-64,M
2025-01-09T00:00:00.000,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",CRIMINAL MISCHIEF & RELATED OF,PL 1450001,M,23,25-44,F
2025-01-09T00:00:00.000,CRIMINAL MIS 2 & 3,CRIMINAL MISCHIEF & RELATED OF,PL 1450502,M,13,(null),(null)
2025-01-09T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,B,44,(null),(null)
